index,title,score,gram,cost,category
361,素煎り マカダミアナッツ オーストラリア産,4.5,51g,278,2
362,ひとときスイーツ ふんわりマドレーヌ,4.3,1個,98,3
363,牧草飼育のオーストラリア産牛もも肉使用 厚切りビ…,4.8,41g,348,4
364,ローストココナッツ,評価なし,65g,278,5
365,国産素材 輪切りレモン WAGIRI Lemon,4.1,51g,298,6
366,国産素材 清見オレンジ KIYOMI Orange,4.8,51g,298,7
367,プルーン種ぬき,5,370g,598,8
368,パイナップル Pineapple,5,75g,298,1
369,くちどけのよい ふんわりかすてら,4.8,6切,278,2
370,国産素材 信州ふじりんご FUJI Apple,3.3,65g,298,3
371,カリフォルニア産 アーモンド,評価なし,60g,198,4
372,Chocolate&Cookies 板チョコクッキー,4.7,204g(個包装袋込み),238,5
373,瀬戸内産レモンの果汁使用 いかフライ さっぱり瀬戸…,評価なし,27g,100,6
374,アーモンドとマカダミア,5,35g,198,7
375,おしゃぶりこんぶ,5,20g,198,8
376,遠赤流動焙煎釜で焼き上げた 素煎りアーモンド,5,200g,378,1
377,素材そのまま 生クルミ,3.5,190g,378,2
378,遠赤流動焙煎釜で煎り上げた 素煎り カシューナッツ,3,150g,378,3
379,遠赤流動焙煎釜で煎り上げた 素煎り 3種のミックス…,4.6,180g,378,4
380,マフィンケーキ,5,4個,197,5
381,Free From 塩だけで味付けした えんどうまめの堅焼…,5,60g,78,6
382,プルーン種ぬき 個包装,5,100g,298,7
383,フルーツがごろごろ みかんゼリー,評価なし,200g×12個,922,8
384,フルーツがごろごろ ミックスゼリー,2.4,200g,78,1
385,フルーツがごろごろ ミックスゼリー,評価なし,200g×12個,922,2
386,フルーツがごろごろ 白桃ゼリー,3,200g,78,3
387,フルーツがごろごろ 白桃ゼリー,評価なし,200g×12個,922,4
388,フルーツがごろごろ グレープゼリー&ナタデココ,評価なし,200g×12個,922,5
389,プルーン種ぬき,4,175g,298,6
390,クランベリー,評価なし,54g,198,7
391,ブルーベリー カルチベイト種,1,45g,298,8
392,むき栗 Chestnuts,5,225g(75g×3袋),298,1
393,8種類の素材 木の実と種のミックス Mixed Nuts and …,5,45g,198,2
394,カリフォルニア産レーズン使用 レーズン Raisins,4.7,300g,298,3
395,アンズ,評価なし,90g,298,4
396,CREAMY CHOCOLATE ひとくちクリーミーチョコレート,5,184g,238,5
397,9種類の味が楽しめる 海鮮せんべいアソート,4.5,140g,298,6
398,いろいろな味が楽しめる ミックスナッツ,5,140g,198,7
399,国産あじを使用 魚肉ソーセージ,評価なし,75g(25g×3本入),128,8
400,あらびき黒胡椒味 スライスサラミ黒胡椒,評価なし,58g,298,1
401,いろいろな味が楽しめる お好みミックス,5,185g,198,2
402,プロセスチーズ20%使用 燻製チーズ入りかまぼこ,評価なし,81g(27g×3本入),128,3
403,ピスタチオ,評価なし,48g,218,4
404,やわらか食感 焼えいひれ,評価なし,29g,198,5
405,焼うるめ,評価なし,18g,198,6
406,いろいろな味が楽しめる ミックスナッツ,3.7,245g,378,7
407,ピリッと辛い 小粒かきピーナッツ,3.6,200g,168,8
408,素煎り ミックスナッツ 7パック Mixed Nuts 7packs,4,196g(28g×7袋),598,1
409,素煎り くるみ,4.8,90g,278,2
410,マスカルポーネチーズ使用 マスカルポーネチーズサ…,評価なし,70g,298,3
411,りんごの木のチップでスモーク いか燻製,評価なし,28g,128,4
412,3種のミックスナッツ,評価なし,44g,218,5
